player,cost,round,n
1,6,1,1
2,16,1,1
3,16,1,1
1,9,2,1
2,26,2,1
3,26,2,1
1,19,3,1
1,29,4,1
1,15,1,2
2,14,1,2
3,18,1,2
1,15,2,2
2,16,2,2
3,28,2,2
1,21,3,2
2,23,3,2
1,16,1,3
2,12,1,3
3,16,1,3
1,18,2,3
2,19,2,3
3,23,2,3
1,28,3,3
2,27,3,3
1,12,1,4
2,12,1,4
3,17,1,4
1,13,2,4
2,22,2,4
3,27,2,4
1,23,3,4
1,5,1,5
2,16,1,5
3,15,1,5
1,9,2,5
2,26,2,5
3,15,2,5
1,12,3,5
3,25,3,5
1,18,4,5
1,23,5,5
1,7,1,6
2,17,1,6
3,16,1,6
1,18,2,6
2,27,2,6
3,23,2,6
1,21,3,6
1,12,1,7
2,14,1,7
3,15,1,7
1,14,2,7
2,22,2,7
3,14,2,7
1,24,3,7
3,22,3,7
1,10,1,8
2,18,1,8
3,13,1,8
1,16,2,8
2,19,2,8
3,20,2,8
1,18,3,8
2,24,3,8
3,24,3,8
1,28,4,8
1,10,1,9
2,18,1,9
3,8,1,9
1,12,2,9
2,16,2,9
3,11,2,9
1,16,3,9
2,26,3,9
3,16,3,9
1,17,4,9
3,26,4,9
1,22,5,9
1,20,1,10
2,20,1,10
3,9,1,10
1,24,2,10
2,24,2,10
3,20,2,10
3,19,3,10
3,26,4,10
1,20,1,11
2,13,1,11
3,16,1,11
1,23,2,11
2,17,2,11
3,24,2,11
2,20,3,11
2,26,4,11
1,19,1,12
2,17,1,12
3,20,1,12
1,29,2,12
2,19,2,12
3,24,2,12
2,21,3,12
1,13,1,13
2,15,1,13
3,10,1,13
1,16,2,13
2,16,2,13
3,19,2,13
1,26,3,13
2,26,3,13
3,21,3,13
1,12,1,14
2,17,1,14
3,15,1,14
1,19,2,14
2,20,2,14
3,25,2,14
1,28,3,14
2,21,3,14
1,21,1,15
2,15,1,15
3,19,1,15
1,16,2,15
2,23,2,15
3,26,2,15
1,26,3,15
1,18,1,16
2,13,1,16
3,18,1,16
1,22,2,16
2,14,2,16
3,22,2,16
2,19,3,16
2,29,4,16
1,21,1,17
2,6,1,17
3,11,1,17
1,18,2,17
2,16,2,17
3,16,2,17
1,28,3,17
2,23,3,17
3,26,3,17
1,12,1,18
2,20,1,18
3,12,1,18
1,19,2,18
2,29,2,18
3,14,2,18
1,23,3,18
3,15,3,18
3,25,4,18
1,20,1,19
2,7,1,19
3,10,1,19
1,26,2,19
2,18,2,19
3,21,2,19
2,13,3,19
2,23,4,19
1,16,1,20
2,9,1,20
3,19,1,20
1,18,2,20
2,19,2,20
3,21,2,20
1,27,3,20
2,25,3,20
1,13,1,21
2,20,1,21
3,21,1,21
1,19,2,21
2,27,2,21
3,18,2,21
1,29,3,21
3,21,3,21
1,11,1,22
2,12,1,22
3,20,1,22
1,12,2,22
2,12,2,22
3,27,2,22
1,22,3,22
2,22,3,22
1,15,1,23
2,18,1,23
3,19,1,23
1,20,2,23
2,20,2,23
3,20,2,23
1,30,3,23
2,22,3,23
3,27,3,23
1,8,1,24
2,13,1,24
3,15,1,24
1,17,2,24
2,18,2,24
3,19,2,24
1,25,3,24
2,18,3,24
3,26,3,24
2,24,4,24
1,21,1,25
2,16,1,25
3,14,1,25
1,15,2,25
2,26,2,25
3,24,2,25
1,19,3,25
1,21,4,25
1,18,1,26
2,12,1,26
3,5,1,26
1,26,2,26
2,18,2,26
3,14,2,26
2,28,3,26
3,21,3,26
1,20,1,27
2,11,1,27
3,17,1,27
1,22,2,27
2,19,2,27
3,13,2,27
2,22,3,27
3,23,3,27
1,15,1,28
2,11,1,28
3,14,1,28
1,25,2,28
2,14,2,28
3,15,2,28
2,21,3,28
3,24,3,28
1,12,1,29
2,14,1,29
3,18,1,29
1,22,2,29
2,12,2,29
3,28,2,29
2,21,3,29
1,14,1,30
2,12,1,30
3,20,1,30
1,19,2,30
2,14,2,30
3,23,2,30
1,27,3,30
2,24,3,30
1,13,1,31
2,13,1,31
3,20,1,31
1,23,2,31
